"","CD31m_1","CD31m_2","CD31m_3","CD31m_4","Ost_c_1","Ost_c_2","Ost_c_3","Ost_c_4","Ost_ins_1","Ost_ins_2","Ost_ins_3","Ost_ins_4"
"P11177",17.20938,17.24777,17.12466,16.98251,17.1592,17.00478,17.0673,16.93251,16.98199,16.44022,17.01057,16.65032
"P11310",15.79227,15.96574,16.19668,15.66925,15.85853,15.89458,15.52214,16.02556,15.59886,15.91155,15.43941,15.82742
"P15374",17.36219,17.64482,17.42054,17.0875,17.51073,17.40443,17.07078,17.08898,17.36304,16.91443,17.28003,17.30958
"P16070",17.43329,18.17329,16.8009,17.09752,17.91529,18.53293,17.56621,18.29949,17.74547,18.02467,17.74032,17.96432
"P16112",15.62986,14.64345,15.55442,15.55649,15.00314,14.52901,15.03828,14.10974,14.6793,14.25871,14.60648,13.97764
"P21283",16.8156,16.86115,16.23263,17.28198,16.94162,16.85791,17.33486,17.63887,17.38109,16.95361,17.23675,17.61592
"P21291",18.57188,17.58637,18.60486,18.18447,18.62594,17.7359,18.78133,18.19167,18.4223,17.31513,18.8049,18.22423
"P23142",14.41005,13.62766,14.25425,14.70783,16.6663,16.37367,17.29317,16.10096,16.9568,16.20405,17.40425,16.27567
"P24844",18.11594,17.64667,18.23021,17.18769,18.37943,17.41577,18.18286,17.40564,17.77117,16.27981,17.89324,17.35045
"P24928",14.7456,14.37922,14.04801,15.15612,14.03415,14.8852,14.43255,14.34345,14.76434,15.21859,14.57915,14.57352
"P28300",15.99333,15.87153,16.78909,16.24297,15.57818,15.81266,16.2215,15.79581,15.91899,15.79402,16.95133,16.27606
"P30044",18.13943,18.38914,18.27852,17.74951,18.6004,18.34899,18.11611,18.21288,18.2818,17.99143,18.01794,18.22544
"P30048",18.56517,18.78046,18.60976,17.77546,18.67468,18.66259,18.68717,18.64656,18.53994,18.27357,18.46925,18.63232
"P32969",18.11237,17.89518,18.12376,18.36247,17.74632,17.71485,18.20494,18.28037,18.43638,18.67156,18.44992,18.276
"P35249",14.97797,15.30488,15.39973,15.09246,15.00494,14.58279,14.63529,14.65546,15.1767,14.80421,15.2034,14.52922
"P35573",16.78754,16.42234,16.61006,17.47771,16.45709,16.95348,16.85563,16.99923,16.72136,17.10115,16.77952,16.77415
"P39687",16.42931,15.76369,16.76045,15.91834,15.86525,15.72639,15.36225,15.5325,15.50557,15.36073,15.5584,15.19079
"P40189",16.46102,16.39177,16.18764,16.26255,16.53508,16.22453,16.17532,16.23147,16.5997,16.1888,16.677,16.29999
"P40925",18.06488,18.2958,17.84244,17.68388,18.55306,18.26504,18.48996,18.63375,18.54487,18.09966,18.53443,18.39434
"P41227",15.96845,15.97532,16.43946,15.65484,15.8196,15.60596,15.58762,15.40663,15.83684,15.55789,15.74816,15.68839
"P41240",15.03462,14.90122,14.24633,15.23275,14.69059,15.13526,15.17603,15.15075,15.05486,14.90347,15.23688,15.09492
"P46379",15.36636,15.47231,14.99508,15.2872,15.25664,15.49676,15.48174,15.64912,15.45056,15.67128,15.26984,15.72438
"P46782",18.08615,17.73752,18.0511,18.0745,17.52959,17.94846,18.28515,18.06745,18.00441,18.81883,18.1769,18.26762
"P46783",17.79488,16.41057,17.86468,17.48569,16.9812,16.23815,17.01464,17.32667,17.09202,17.35219,17.45405,17.12932
"P46937",16.04346,16.13095,16.20174,15.74638,16.30833,16.37932,15.97449,15.92961,16.00487,15.69711,16.2291,15.96462
"P48163",14.0445,15.23067,15.00196,14.2120242980746,15.07623,15.05724,15.28655,15.04266,15.03867,14.84404,14.88967,14.85351
"P48634",16.07193,15.71848,16.30413,15.97168,15.58568,15.15304,15.96145,15.58952,15.37715,15.72561,15.66902,15.29892
"P50148",14.31703,14.78441,13.8925128800128,15.31167,14.30375,15.0635,15.13809,15.49798,14.72418,15.37957,15.16408,15.2864
"P50402",16.82477,16.85456,16.48113,16.94611,16.59042,17.11239,16.77386,16.89619,16.77374,17.04998,16.68475,16.92703
"P51532",15.1256,14.78758,14.97179,15.1127,14.62319,14.88214,14.81397,14.90151,15.13922,15.49123,14.78432,14.96724
"P51858",18.11515,18.44509,18.4237,17.53488,17.97341,18.0666,17.76579,17.60479,17.83872,17.5182,17.84587,17.53027
