"","CD31p_1","CD31p_2","CD31p_3","CD31p_4","Huv_c_1","Huv_c_2","Huv_c_3","Huv_c_4","Huv_ins_1","Huv_ins_2","Huv_ins_3","Huv_ins_4"
"A8MWD9",17.40902,17.35904,16.97153,17.41425,17.87226,18.39514,17.80911,18.13967,16.995737198267,17.89411,16.54299,17.63236
"O15155",15.5554,14.92774,15.70201,15.44354,15.52585,15.75084,15.58049,15.39794,14.66672,15.21193,15.12395,15.58161
"O95183",15.12196,14.79044,15.20378,14.64213,14.22781,14.86904,14.57366,14.67442,14.11396,14.5373,13.78289,14.96364
"O95249",14.55166,14.18381,14.61839,14.43488,14.85534,14.72885,14.82516,14.6109,14.7135,14.25495,14.67034,14.36696
"O95298",14.21445,14.16624,14.24825,14.05503,14.69662,14.13965,14.28312,14.28391,14.47526,13.71524,14.66015,14.16491
"P05204",17.09849,15.61042,16.63694,16.91804,16.58129,17.06108,16.41839,16.30075,17.73772,17.66025,17.92014,16.83318
"P05976",17.45715,17.96637,17.04246,17.67068,17.25171,17.24476,16.71405,17.4706,17.17811,17.41997,16.60863,17.103
"P08493",16.34843,15.48973,16.28819,16.4989,16.14705,16.67727,16.65481,16.73873,16.3528,15.82821,15.94478,16.03301
"P13164",15.41484,15.09865,14.90767,14.86797,14.39418,14.90903,14.39105,14.27635,14.6712743884631,15.48391,14.35974,15.65902
"P23434",17.00562,17.42299,16.69119,17.34059,16.49268,16.86969,16.46895,16.89551,16.78115,17.10762,16.54066,16.67211
"P51808",14.94699,14.79637,14.92569,14.85836,14.18219,14.82717,14.4308,14.48708,14.61953,14.55006,14.48656,14.66348
"P61966",14.19655,14.13275,14.5425716526914,14.09491,14.57145,14.26242,14.60371,14.50306,14.06515,14.0158,14.37794,14.53719
"P82921",13.64925,14.41611,13.76879,14.1587,14.70541,14.94974,14.71393,14.58438,14.81276,14.60208,14.42805,14.11177
"Q13158",14.11007,13.6827996692956,13.57619,14.12612,14.60108,14.77362,14.37927,14.72503,14.78031,13.9617,14.63109,13.81923
"Q15043",14.00528,13.5325653102997,14.22102,13.65435,14.66588,14.10323,14.17901,14.032,14.02316,13.7182651046942,14.41789,14.32946
"Q15814",17.2779895126639,17.38333,16.77929,17.58104,17.21153,17.36958,17.1503,17.46131,17.51396,17.64186,17.27421,17.28948
"Q5SNT2",14.03032,14.22966,14.21129,13.828,14.06414,14.30017,14.02142,14.07271,13.61579,14.18632,13.61272,14.00166
"Q5T0D9",14.228,13.94187,14.0830951341554,14.39763,13.57631,13.56861,13.59823,13.50564,14.61148,14.0995,14.20668,14.44759
"Q6QNY1",14.46535,14.70623,14.17072,14.77487,14.25099,14.20926,14.2346,14.34766,14.48187,14.40229,14.14471,14.38412
"Q7Z7F7",13.9659,14.70054,13.95091,14.17284,13.99702,14.06076,13.88265,13.87086,14.43843,14.55468,13.98799,13.94553
"Q86T03",14.77182,14.56594,14.77725,14.81119,14.22336,14.2732552088339,14.25193,13.99817,14.82639,14.60612,14.68694,14.87978
"Q86V85",13.32172,12.43837,13.4628638571846,12.79944,13.84042,13.87645,13.55017,13.7152,13.46794,13.29777,13.94523,13.80186
"Q8IY95",15.00899,14.80994,15.30693,14.82964,14.34428,14.95458,15.19047,14.70863,14.93384,14.58407,14.93957,15.05482
"Q8N5N7",15.05187,15.24211,14.6659967718132,15.38603,14.79711,15.36198,15.13917,15.48358,14.30879,15.31649,13.94884,14.58312
"Q8NBK3",15.1741,14.84511,14.39223,15.46418,14.79652,14.50255,14.63671,15.05528,15.1953,14.54219,14.91892,14.75753
"Q8NBM8",13.88107,13.61859,14.22644,13.7312643976588,14.02337,13.76801,13.69466,13.53554,13.73888,13.77843,13.75181,14.30568
"Q969M3",15.07741,14.61195,15.4169,14.87456,14.94546,14.6056,14.98027,14.65582,15.08069,14.85454,15.12347,15.66726
"Q96CP2",13.95627,14.22537,13.71615,14.24866,13.90052,14.24978,13.81945,14.07214,14.15455,14.02774,13.82392,13.80613
"Q96EV8",16.08429,15.96477,15.99667,15.21603,14.13543,15.26716,15.408190848915,15.55615,14.15544,15.8029,15.28156,15.79634
"Q96GC5",15.61297,15.26921,15.32301,15.37681,15.40303,15.70589,15.21729,15.2777,15.9754,15.58543,15.94556,15.15737
"Q96H20",13.91724,14.15632,13.99036,14.1162544981113,14.14818,14.30552,14.2403,14.30129,14.19312,14.19305,14.09384,14.1206346506728
"Q99720",19.1133,19.1457960070529,18.74762,19.10649,18.66197,19.04891,18.36162,18.69933,18.60613,18.83237,18.35139,18.5234161989578
"Q9BXJ8",14.49106,14.2023,14.72473,14.2753825509027,13.7725,13.929,13.97067,13.6774738135901,14.73596,14.21662,14.87489,14.96959
"Q9HD33",15.09029,15.15124,14.93429,15.16382,15.47795,15.40523,15.65599,15.52407,15.387,15.25681,15.39788,15.46094
"Q9NWB6",14.24422,14.7139365156491,14.43263,14.8419,14.64458,14.50834,14.5653703812942,14.62987,14.4012569243449,14.64527,14.2405,14.4491
"Q9UET6",14.3218437550148,13.98372,14.16418,14.36959,14.76104,14.83344,14.6681,14.90528,14.45937,14.37292,14.25202,14.50703
"Q9Y2Y0",14.60745,14.42314,14.71151,15.00564,15.08729,15.07388,14.98426,15.27939,14.94738,14.74657,14.70083,14.57282
"Q9Y676",14.6497119137853,14.86938,14.44139,14.84631,14.48002,14.72171,14.44196,14.4624,14.68696,14.87522,14.47046,14.51061
"A0A087WU03",17.34168,17.64017,17.1532475243598,17.87953,18.06119,17.81749,17.67442,18.08409,17.43046,17.64043,17.15555,17.262602841716
"P61244",14.38588,14.5363,14.04877,14.6674415094093,13.9606473774653,13.87155,13.97134,14.29736,14.21039,14.18228,13.90479,13.90113
"G5E9U6",15.34062,14.43647,15.0361226109884,15.67711,15.41473,14.77208,15.2685,15.19938,16.01256,14.8776968820703,15.59276,15.07698
"Q12955",17.8340010328026,17.2889,17.36493,18.12032,18.15839,17.56316,17.81094,17.83855,18.0385458497389,16.98315,17.83411,17.73921
"L0R6Q1",15.16276,15.60117,15.26131,15.6922058997948,15.84699,15.87983,15.58407,16.00268,15.76537,15.6655504869811,15.39978,15.2466
"O00193",15.76625,16.49946,15.97125,16.3877,15.95773,15.93263,15.54639,16.3156,15.44542,16.04586,14.81886,15.6971
"O00422",15.3169,15.25378,15.04244,15.26315,15.35369,15.37406,15.19945,15.42778,15.35691,15.32272,15.14325,14.86032
"O14763",14.69704,13.78666,14.3403125222759,14.21978,14.17594,13.93765,14.12774,14.13745,14.86829,13.89513,14.42799,14.61761
"O14880",16.45331,16.13933,16.21431,16.0906,16.31576,15.68358,16.04182,15.56996,15.3052,15.77514,16.10479,16.64723
"O14907",16.92153,17.09553,16.65819,17.16419,16.66157,16.54193,16.53536,17.00322,16.82968,16.8959,16.48961,16.74237
"O15127",15.86279,15.36294,15.76532,15.60648,15.31796,15.59638,15.52383,15.30586,15.85401,15.62515,15.78482,16.07428
"O15212",15.01119,14.8931,14.57178,15.34359,15.04648,15.02479,15.01042,15.22656,15.36814,14.59614,14.65493,14.83266
"O15260",15.66789,15.07658,16.18928,15.98148,16.42379,16.39663,16.19071,16.04715,16.48566,16.25597,16.44344,17.43542
"O43670",15.36315,15.92464,15.99857,15.94711,15.29926,15.43401,15.61864,15.45306,15.55793,15.81836,15.52888,15.27577
"O60232",15.07914,14.99462,14.7241415141484,15.5287,15.42279,15.44105,15.17944,15.66123,15.26435,15.23557,14.91868,14.84846
"O60573",15.75836,15.64727,15.19945,16.19817,16.01143,16.00159,15.96061,15.86687,15.66432,15.85493,15.65402,15.71653
"O60828",14.43728,14.0997,14.59374,14.62627,15.21638,14.43877,15.10896,15.21576,14.54319,14.40514,14.41013,14.48458
"O75381",15.00464,14.9726,14.67252,15.0597382623255,15.18626,15.21411,15.01719,15.11041,15.07096,14.97635,14.98634,14.71444
"O75391",14.77673,15.01353,14.74328,15.04727,14.90493,14.66083,14.99904,15.18888,14.71171,15.10182,14.55866,14.64897
"O75781",15.20911,14.94957,15.03334,15.42071,14.90957,14.82295,14.97646,15.05717,15.22313,14.71962,14.95694,15.00461
"O95197",15.88897,16.24065,16.55656,16.42857,16.29388,16.14664,16.26406,16.28406,16.24939,16.34302,16.3826,16.7392
"O95218",15.83085,15.37741,15.641,16.0247179190441,16.53158,15.67603,15.81852,16.38481,16.14405,15.3276225107771,16.06881,15.13114
"O95777",15.3015,15.01299,14.92875,15.78487,15.31228,16.23943,15.43493,16.07901,15.74006,16.02892,15.52038,15.34009
"P05161",15.96332,15.32756,15.42887,15.45322,15.54888,15.53483,15.53418,15.56104,15.71388,15.89537,15.68959,15.51407
"P07919",15.99962,15.85777,15.3341,16.48939,15.77397,16.20148,15.54263,15.89394,16.40322,16.45481,16.15264,16.18136
"P14209",15.583,14.9613,15.23452,15.37951,16.01896,15.42153,15.75702,16.05402,15.725,14.65559,15.41922,15.34417
"P17026",17.12483,17.114,17.36285,17.1726161733105,15.75803,16.04898,15.49118,15.70484,16.840471217035,16.86341,16.73458,17.5621
"P17050",14.97338,15.13936,14.61593,15.05661,14.5894,15.3767,14.63651,14.98776,14.93687,14.72523,14.72562,14.39519
"P25942",14.47453,13.98591,14.1728,14.39337,14.55467,14.93714,14.46872,14.68605,14.14062,13.66508,13.88634,13.85617
"P43307",16.10339,14.99876,16.07245,16.01322,15.92529,15.42683,15.80968,16.02542,16.20084,15.02873,15.67022,16.11551
"P49006",17.06283,16.58741,16.95804,17.15474,16.27121,17.01694,16.52291,16.89669,16.34088,16.57825,16.12775,16.27705
"P51397",15.22394,16.20413,14.70876,16.16782,16.03903,15.84994,15.75514,16.10768,15.45545,15.66255,15.32869,15.24772
"P51636",16.20058,15.93432,16.2458,15.82258,15.28648,15.74685,15.67522,15.54646,15.59564,15.75848,15.31362,15.99699
"P53384",15.06437,15.04545,14.81093,15.3232176348534,15.2091,14.6856,15.0838,15.37805,14.95957,14.65371,14.59638,14.66616
"P53680",14.8455200154581,14.2907,15.38283,14.70766,15.19853,15.10372,14.98906,14.83487,14.49836,14.89627,14.3675,15.64306
"P53801",19.76943,19.32442,19.38381,19.633,18.87485,18.47892,18.56274,18.70112,19.52007,19.07324,19.27837,19.39323
"P54105",15.65609,15.80472,15.61518,15.95501,15.52073,15.54548,15.74539,16.20505,15.15068,15.59792,15.0366971628969,15.35343
"P60468",16.62083,16.51709,17.47843,16.91115,16.49332,15.9422,16.84774,16.48116,16.97073,16.57634,16.94363,17.35662
"P60520",14.21529,13.5722,13.93474,14.12295,14.119,13.79685,13.91244,14.18958,14.40737,14.17988,13.90746,14.26838
"P61009",14.71242,14.71859,15.26022,14.44296,15.014,15.10149,15.36745,15.264,14.87114,14.53206,14.78721,15.25104
"P62253",14.67151,14.5469,14.47199,15.13868,14.84759,14.72095,14.62897,15.07964,14.93449,14.78524,14.64641,14.45714
"P62304",17.17764,17.09492,17.0741,16.92599,17.87178,17.62779,17.74577,17.58068,17.07937,17.20186,17.14357,17.11855
"P62306",16.69145,16.61577,16.53384,16.82824,17.0193,16.80843,16.92205,17.07969,16.48686,16.63423,16.43615,16.48772
"P62310",17.12106,17.43603,16.77641,17.48758,17.06039,17.16058,16.86821,17.35861,17.28388,17.08294,17.00305,16.82129
"P62854",17.00603,16.88186,17.31332,17.14896,18.70208,18.00797,18.02669,18.22379,17.76087,17.51365,17.74454,18.13351
"P62877",16.74069,16.75506,16.46059,16.56509,16.49451,16.77902,16.58165,16.79316,16.38019,16.57152,16.46021,16.1694
"P63172",15.24966,14.90108,15.1179,15.11092,15.96557,15.79159,15.92936,15.80327,15.42081,15.48678,15.4599,15.53369
"Q01130",17.47436,17.5646,17.11541,17.71766,17.20502,17.3196,16.8628,17.65588,17.05467,17.38916,16.56985,17.2524
"Q01650",13.23012,13.85257,13.94055,13.2796215219291,13.71989,13.72332,13.58116,13.16358,13.14937,13.5291520327671,13.46402,13.77424
"Q01658",15.00936,15.73127,14.67689,16.01292,15.07326,15.08396,15.05517,15.55317,15.01284,15.3537448086457,14.20128,14.97592
"Q15427",14.1276007871393,14.39592,14.10635,14.67404,14.14305,13.91445,14.57202,14.2745,13.53054,14.55897,13.6848658497717,14.41769
"Q5GJ75",14.85971,14.66978,14.41571,14.90594,14.83473,15.05745,14.98408,14.67741,14.95678,13.84331,15.30294,14.83597
"Q6P4F2",14.72993,14.8972,13.94896,15.31048,14.43165,14.63236,14.2874206228161,14.73609,14.89076,14.77475,14.3617063588572,14.35633
"Q6P587",16.27486,16.46405,16.35042,16.23003,15.97057,16.10046,15.86477,15.9848194679442,16.09412,16.12509,15.80177,16.09651
"Q6P5R6",15.35612,16.13385,15.2028243971641,15.33389,15.70917,16.29836,15.76282,15.63928,15.56861,16.29641,15.4675541310754,15.12241
"Q6PD74",15.7406,15.39006,15.4583013111789,15.74566,15.83139,15.51991,15.45611,15.8596,15.54121,15.2967656408421,15.56039,15.28712
"Q6QNY0",14.3895,14.41085,14.2077687295564,14.62956,14.12422,14.20729,14.05474,14.3029,14.36945,13.77559,14.01525,14.22435
"Q6UW68",14.49501,14.08869,14.95411,14.3925,15.09491,15.36996,14.8213,14.78152,13.64997,14.51545,14.00981,14.6459
"Q6UXH1",14.59717,14.41016,14.14384,14.84213,14.46685,14.50905,14.44547,14.67955,14.41384,14.33731,14.17172,14.16197
"Q7Z4G1",14.60574,14.5308,14.176939547429,14.32307,14.39055,14.68909,14.38232,14.80064,13.70165,14.48694,13.6866873770503,13.87942
"Q86SX6",15.79561,15.71375,15.25544,15.99363,15.51119,14.94864,15.2127,15.57753,15.17664,15.12426,14.82565,15.16899
"Q86VR2",14.51071,14.01963,14.59482,14.33819,14.4726,14.48317,14.37724,14.36416,14.66718,14.3287249989243,14.57748,14.75674
"Q86WC4",18.7209,18.39868,18.44073,18.89404,17.81927,17.8794,18.08988,17.89311,18.20462,18.0587098778205,18.58011,17.65626
"Q8N2F6",14.06437,14.0137932418878,14.0434,14.01174,14.31483,14.55436,14.10402,14.1715842689881,13.96805,14.1717399453016,14.34074,14.17194
"Q8N335",15.07373,15.39145,14.87646,15.39681,14.99081,15.40424,14.84457,14.97676,14.99426,15.08254,14.94644,15.20725
"Q8N5W9",14.66358,15.1261,14.3617947322621,15.02047,15.26156,15.33468,15.14808,15.54752,14.99201,15.05559,14.42478,14.5708155292386
"Q8NB37",14.07124,13.46834,13.33285,14.36612,14.06844,14.28593,13.96943,14.30294,14.33366,14.09841,14.07611,14.01913
"Q8NFH3",15.42522,15.53476,15.10387,15.69996,15.17403,15.32174,15.063,15.45924,15.4227272543802,15.47191,15.14002,15.29684
"Q8WUW1",15.0108,14.90218,14.40459,15.20148,15.1561,15.0931,15.2142,15.32983,14.27967,14.86279,13.7341,14.58303
"Q8WUY1",14.5518,14.30732,14.6396811436106,14.61395,14.5484,14.58919,14.4815,14.47153,14.78745,14.55919,14.71641,15.01916
"Q8WVJ2",15.88951,16.24289,15.51714,16.23759,16.12014,16.16053,16.15152,16.40522,15.71728,16.1436,15.49188,15.9631
"Q92542",16.8511,16.48532,16.649,16.78548,15.91487,15.43443,15.41863,15.58814,16.68971,15.90739,16.2659,16.65302
"Q92785",14.52738,14.7411,14.46444,14.9321,14.6505,14.61619,14.49714,14.82757,14.44892,14.6703,14.12731,14.36377
"Q92835",16.74558,16.88839,16.53821,16.66677,16.72886,16.56079,16.69901,16.7294985149638,16.752,16.81415,16.60124,16.63758
"Q96AT9",16.08939,15.38185,15.43518,16.01301,15.63228,16.03826,15.67851,16.01868,16.07996,15.74281,15.80661,15.47243
"Q96B26",15.27717,15.42915,15.30808,15.48898,15.65551,15.73282,15.58796,15.70433,15.42918,15.404,15.36718,15.25145
"Q96B54",15.72155,15.64967,15.47321,16.04993,14.9578,14.94055,14.85666,15.29073,15.46531,15.31438,15.20154,15.18788
"Q96C90",15.69995,15.65167,15.83998,15.87738,16.09761,16.15862,15.98888,16.39077,15.63955,15.66069,15.49299,15.31582
"Q96DG6",14.2801,14.29643,13.7394,14.1065,14.36986,14.4269190820485,14.21005,14.33178,14.00393,14.18487,13.9057197645867,14.17644
"Q96EI5",13.99277,14.51371,13.85138,14.40576,13.8522193516367,14.22049,13.8238,14.11463,13.67844,14.31731,13.3796,13.6884609314909
"Q96EY1",13.82137,14.06789,13.6941907200273,13.8896,14.19693,14.29209,14.19438,13.99807,14.25787,14.64966,13.88498,13.98761
"Q96PU4",13.74291,13.88806,14.11637,13.7778558448697,14.18782,14.26455,14.14031,13.96733,13.9528685085517,13.98852,14.09143,13.94352
"Q99538",14.09645,14.2853361063857,14.19636,14.41816,14.06111,14.64048,14.049,14.46367,13.81771,13.88531,13.7380786303142,13.99773
"Q9BQ69",14.67792,14.79153,14.42718,14.85466,14.49922,14.49782,14.43224,14.42421,14.76832,14.75906,14.49535,15.32136
"Q9BQB6",15.7301,16.41318,16.64512,16.1719540916019,15.7248913998535,15.8657,15.73695,15.79695,15.2825,15.94732,14.821,16.25079
"Q9BS40",14.7617352019365,15.00976,14.7525,15.25838,15.69232,15.57879,15.74843,15.8061,13.81219,14.61169,13.86491,14.3039532874257
"Q9BW27",15.55269,14.83395,15.72747,15.10712,15.7664728270346,15.85689,15.93765,15.48771,15.81492,15.8248,16.27109,16.24315
"Q9BW60",15.03157,15.0517163582705,15.55741,14.87456,15.55013,15.74826,15.77092,15.6835,15.07258,15.5194570193696,15.26211,15.98204
"Q9BXV9",14.5006,14.78088,13.95717,14.78984,14.8171,15.39877,14.72984,14.94385,14.8543439035092,14.95488,14.62056,14.14303
"Q9BZL1",15.08121,15.55466,15.0050888663974,15.14289,15.69873,15.33049,15.71379,15.86805,15.16356,15.2733,14.888,14.99
"Q9GZN8",16.19003,16.442,16.0305,16.29874,15.97551,16.25498,16.20365,16.42923,15.96351,16.199,15.64889,15.88187
"Q9GZR7",13.88388,14.02788,13.749682256758,13.77351,13.68881,14.44874,13.82851,13.8490094963083,13.9601481967199,14.34793,13.89735,13.93484
"Q9H019",14.01891,14.47362,13.67407,14.54768,13.65728,13.85776,13.85042,14.0426346028484,13.9942,14.34745,13.67989,13.54338
"Q9H6T3",14.25506,14.35143,14.06552,14.47971,14.23964,14.06995,14.25298,14.46992,14.32874,14.1955,13.7785,14.03005
"Q9H9A5",14.2073732453751,13.57112,14.4196,14.07163,14.34615,14.50448,14.33166,14.34033,14.33349,14.43322,14.73491,14.64616
"Q9HBL7",18.63178,18.6569,18.49861,18.6413441705081,18.73048,18.94113,18.7411,18.73024,18.1803909507747,18.55522,17.94287,18.81186
"Q9HBW9",16.00871,15.13668,15.56507,16.08724,16.2679,15.61463,15.73275,16.40646,16.01182,15.59046,15.6901,15.75061
"Q9NPA0",14.17487,14.23544,14.1074909072502,14.10725,14.5194,14.49247,14.45138,14.18335,14.58026,14.38199,14.41502,14.10368
"Q9NPJ3",15.40861,15.3645,14.75366,15.45971,15.43413,15.68902,15.38381,15.5859993242398,15.8213,15.85918,15.54803,15.49891
"Q9NQP4",16.26654,16.3515,15.86692,16.57214,16.47538,16.71904,16.62504,17.00288,16.0391,16.05934,15.76369,15.86183
"Q9NRN7",14.12718,14.02286,13.93546,14.1045625646382,14.73165,14.77554,14.55623,14.65669,14.34481,14.37192,14.39691,14.44596
"Q9NVS9",15.57288,15.73505,14.8763,15.86781,14.57422,15.19272,14.43279,14.90056,15.09283,15.3232,14.69242,14.737
"Q9NX55",15.41616,14.75232,14.45736,15.75351,15.72689,15.89155,15.43385,15.84687,15.69648,15.51315,15.4178,15.39976
"Q9NYL4",14.80381,14.45895,14.84559,14.76373,15.7973,15.57695,15.44187,15.3699,15.58945,14.58806,15.0861,15.49258
"Q9NZ43",13.83766,13.38724,14.30572,13.91322,14.12025,13.95605,13.80912,13.9836,13.90574,13.28806,13.95145,13.94947
"Q9UBB5",13.81757,14.32075,13.84731,14.26513,13.88349,13.97846,13.84264,13.99579,14.01169,14.27231,13.7008,13.8951165777899
"Q9UBF6",15.09457,15.4888,15.02477,15.50537,15.03593,14.74403,15.12125,15.33591,15.11835,15.28064,14.66288,14.93631
"Q9UBM7",15.77548,15.00799,15.76702,14.81129,15.60157,15.37095,16.28131,15.65827,15.80153,15.97662,15.98668,16.59683
"Q9UBQ0",16.20518,15.97886,15.98392,16.10298,16.3212,16.50055,16.38849,16.40011,16.26626,16.29799,16.18474,16.09071
"Q9UNN8",16.47908,16.1453798919197,16.26819,16.5417,16.82387,16.97289,16.63728,16.67131,17.01039,16.51978,17.41048,16.82355
"Q9UQN3",15.63255,16.23483,15.63247,15.95818,15.94688,16.19407,15.96436,15.88998,15.78693,16.19478,15.53298,16.283
"Q9Y282",15.76721,15.5775,15.72255,15.74792,15.48103,15.71109,15.42507,15.5124732328192,15.48367,15.5108,15.47913,15.70836
"Q9Y2R0",15.12549,15.27314,14.71644,15.17617,15.03568,15.18471,15.33946,15.0146,15.62496,15.19871,15.26372,15.57108
"Q9Y2R5",14.1289,14.41341,13.79806,14.44797,15.16581,15.0077388675675,14.9312,14.66796,14.7790131714599,14.64047,14.6233,14.74974
"Q9Y2S6",14.21309,13.90311,14.19661,14.53401,14.4996,14.58711,14.20163,14.35238,14.67961,14.59918,14.51518,13.99869
"Q9Y3C8",15.65812,15.5505345203439,15.21204,15.73047,15.28535,15.59098,15.34767,15.63919,15.65465,15.53172,15.50118,15.39323
"Q9Y3E7",14.64259,14.04279,14.12037,14.75798,14.71328,14.52133,14.35174,14.60613,14.6715,13.99978,14.46658,14.31983
"Q9Y4P8",14.64844,14.36991,14.42651,14.67907,14.75473,14.76452,14.60849,14.5452,14.73719,14.55988,14.78162,14.88917
"Q9Y4Z0",16.08313,16.33416,15.8241742117971,16.24765,16.46998,16.92701,16.38226,16.16277,17.13375,17.05665,16.75952,16.13387
"Q9Y6H1",15.31334,15.67296,15.23303,15.82289,15.11725,15.31541,15.39328,15.61586,15.34203,15.59792,15.14409,15.17665
"Q96FZ7",13.82284,13.70105,13.6464,14.03141,14.18159,14.35115,14.30162,14.48292,14.12469,13.90437,13.78761,13.87823
"Q96NC0",14.64921,15.71979,15.31624,15.53925,14.54739,14.6031893187764,14.59088,14.68274,14.79388,14.89249,14.35487,14.72499
"Q96T60",14.13378,14.19385,14.0924,14.35252,13.9364898871687,14.06471,14.04754,14.06776,14.35081,14.41005,14.25141,14.05411
"Q96MY1",14.50466,14.06287,14.44411,14.6631712713048,14.50388,13.99631,14.49138,15.11738,13.90816,14.16913,13.71926,14.2113
"O14559",16.78402,16.13382,16.48838,17.17994,15.69031,16.00603,15.34414,15.94416,17.31362,16.25803,16.98718,16.47023
"P35244",13.80638,13.84551,13.42805,14.3155,14.17457,14.16858,13.78448,13.94786,14.19123,14.01523,14.59935,13.81776
"Q9H4G4",14.93666,14.90375,14.27121,14.74506,14.59772,14.53514,14.61608,14.67902,14.2641,14.63566,14.04076,14.13948
"R4GMQ5",19.84211,20.02651,19.19255,19.91678,18.33541,18.52931,17.97195,18.38392,18.75626,18.26112,18.43796,17.93664
"P45984",16.89839,16.66913,16.9000765043718,16.44551,17.00183,17.06111,17.10245,17.01477,16.91591,16.8452,17.05186,16.98912
"A6NCE7",15.60253,15.33713,15.15281,16.00053,16.11795,14.92481,15.75522,15.84007,16.32817,15.64067,15.77267,15.88278
"O00264",16.73384,16.60736,16.61752,17.00826,16.42279,16.57222,16.61288,16.74631,16.4748,16.10558,16.24976,16.31047
"O00330",15.68807,16.03895,15.40499,15.87974,15.65361,15.61495,15.54406,15.84373,15.7765,15.91725,15.39952,15.63771
"O00401",16.67405,16.97082,17.16172,16.76876,16.68464,16.85429,17.02571,16.71725,16.96744,16.8078,17.15237,16.68107
"O14530",15.00288,14.64341,14.65607,15.14471,15.27132,15.11262,15.20942,15.5387,14.99201,15.00597,14.89764,14.72642
"O14545",14.46128,14.4841,14.45077,14.38159,13.95703,14.2545,14.04159,14.11777,14.27502,14.13928,14.12515,14.03334
"O14896",15.70635,15.03866,15.54599,15.40004,14.99399,14.25642,15.1631,14.61001,15.41806,15.32372,15.53033,16.05802
"O15258",15.46589,15.33619,15.65005,15.31608,15.58877,15.91123,15.68177,15.51542,15.43111,15.53749,15.6534,16.17466
"O15382",13.94475,13.93439,13.73796,13.85943,13.9853,14.32495,14.08176,13.93535,14.26942,14.23324,14.28353,14.16045
"O43169",15.27559,14.45796,14.60936,15.48033,16.2602,16.08903,15.74986,15.72506,15.17597,15.47446,15.46419,15.44477
"O43464",15.81345,15.38634,15.21565,16.69129,15.71617,16.04461,15.62754,16.2286,16.50515,16.10815,16.09149,16.216
"O43617",14.94949,14.79669,15.26233,14.9104,14.2115,14.97717,15.11018,14.88742,14.81041,14.56783,14.68819,14.39584
"O43633",14.30892,14.45436,14.1088312820502,14.02596,14.1275,14.32263,14.20414,14.05528,14.21007,14.1615116730915,14.06203,13.88474
"O43657",14.05479,13.73815,14.07513,13.69191,13.5399,13.63764,13.492984850842,13.15118,13.61944,13.72399,13.54257,13.74229
"O43752",14.14028,13.82541,13.9077,13.97448,14.073,14.26413,14.03022,14.12541,14.11725,13.84981,14.06761,13.98705
"O43818",14.88349,15.54701,14.96334,15.62201,15.60863,15.45304,15.37019,15.44422,15.20766,15.28598,14.88208,14.97768
"O43819",14.59617,14.36837,14.22569,14.49447,14.27207,14.33579,14.41113,14.39292,14.54556,14.58333,14.33919,14.40748
"O43924",14.59101,14.47332,14.40896,14.66311,14.39897,14.56446,14.45164,14.67481,14.34122,14.56122,14.06899,14.3168
"O60831",16.5586463599392,16.98484,16.79548,16.68245,17.44752,17.73659,17.3380147726322,17.02965,15.93931,17.0668128393429,16.58742,17.2409
"O60884",15.38662,15.35017,15.18958,15.64447,15.1897,15.03566,15.28342,15.4688,15.51432,14.9406,15.10887,14.96064
"O75323",15.16696,15.70429,15.32528,15.18713,14.91077,15.0198,14.88188,14.82519,14.92899,14.95728,14.78062,14.69996
"O75380",16.01234,16.29969,15.52366,16.37685,15.60915,15.74129,15.60549,16.01409,15.46824,15.83951,15.16558,15.28211
"O75607",16.36984,16.0736,16.4208503391407,17.07254,17.21594,17.51244,16.88048,17.32521,17.28776,16.92528,17.28968,17.04392
"O75688",14.3869,14.64724,13.91701,14.6764,14.38847,14.29557,14.26844,14.73458,14.27042,14.3006081902767,14.0814,13.76043
"O75844",15.4401,15.18537,15.76847,15.0367,14.93009,15.2108,15.29353,14.74445,15.13319,15.17109,15.50758,15.59889
"O75915",17.39439,16.99054,17.34395,17.23634,17.19844,17.68734,17.21516,17.12779,17.59737,17.39249,17.44197,18.19053
"O76080",18.46397,18.01964,17.42518,18.9254,18.85755,18.26814,18.19687,18.61642,18.76976,18.57396,18.39839,18.4227
"O95208",14.02164,14.39703,14.41132,14.55792,13.95237,14.29587,14.27616,14.38942,14.5462,14.33614,14.64468,14.43034
"O95989",15.60845,15.7279,15.78288,15.9765,15.23673,15.45789,15.19174,15.44308,15.18602,15.74345,15.2697740018646,15.86252
"P02765",19.96135,18.88335,20.15055,19.92389,18.43834,18.20511,18.19382,18.21022,20.68188,19.3766,20.82846,20.11942
"P05452",16.3811,15.53743,15.6616573441819,15.98097,15.40181,14.88903,14.79555,15.30203,16.40767,15.24154,16.15356,15.53209
"P08962",17.5422,17.20603,17.64654,17.75195,15.97131,15.73879,15.6456,15.92927,16.75941,16.5291,16.97125,17.36898
"P09012",13.72922,14.88268,14.94875,14.63978,15.24795,14.88025,15.62564,15.38073,15.14625,15.01779,15.24184,15.14375
"P0DPB6",14.55528,14.6467,14.14897,14.60824,14.57719,14.55274,14.3027,14.74595,14.51535,14.70079,14.18172,14.38391
"P13598",17.55039,16.45301,17.34679,17.31726,17.668,18.0114,17.55584,17.88044,17.67517,17.43805,17.6045,17.59991
"P14854",15.51485,15.8767,15.26449,16.19258,14.91255,15.44636,15.0793,15.55196,15.88508,15.06259,15.25315,15.09758
