"","CD31p_1","CD31p_2","CD31p_3","CD31p_4","Huv_c_1","Huv_c_2","Huv_c_3","Huv_c_4","Huv_ins_1","Huv_ins_2","Huv_ins_3","Huv_ins_4"
"Q9HCC0",15.07865,15.22817,15.0654,15.14085,14.66421,14.92251,14.78019,14.79929,14.95263,15.20021,14.81657,15.22247
"Q9NP61",15.61464,15.60949,15.64191,15.59854,15.44184,15.49238,15.45308,15.4046,15.53215,15.43208,15.44589,15.44201
"Q9NTJ5",15.72079,15.66724,15.95919,15.34182,14.8953,15.29087,15.46608,15.11656,15.52222,15.37668,15.78801,15.79529
"Q9NVD7",15.917,15.67056,15.90523,15.72151,15.99809,15.80867,15.92279,15.79282,15.67673,15.44248,15.82434,16.00115
"Q9NYF8",15.72015,15.57935,15.3681,15.81861,15.54945,15.71795,15.27629,15.71206,15.57803,15.49909,15.32591,15.26353
"Q9NZL9",16.66143,16.82561,16.45192,16.89821,16.66923,16.78135,16.6744,16.91246,16.8034,17.04801,16.51899,16.60867
"Q9UHD1",15.8521,15.32223,15.43939,15.82944,16.26322,16.15935,16.11893,16.27148,15.88162,16.03145,15.65832,15.91128
"Q9UNZ2",16.44297,16.62948,16.09376,16.81089,16.28489,16.31375,16.29021,16.63674,16.47604,16.56878,16.06659,16.41981
"Q9Y305",16.14393,16.14061,15.88795,16.0054,16.14296,16.24798,16.16888,15.97054,16.15479,16.11005,16.14891,16.2542
"Q9Y383",16.5404,16.91082,16.46007,17.0143,16.59583,16.50304,16.13482,16.56363,16.49969,16.78814,16.24671,16.37283
"Q9Y4E8",14.90468,14.79673,15.00956,14.88509,15.16178,15.28129,15.15263,15.15162,14.88424,14.87853,14.92924,14.92836
"Q9Y5X3",15.35181,15.76495,15.13235,15.43454,15.18306,15.67131,15.13083,15.41172,15.40839,15.68432,15.13858,14.97052
"A0A1B0GTL5",14.57243,14.75113,14.34499,14.72586,14.17638,14.4599,14.4372,14.46603,14.49569,14.60786,14.22678,14.16527
"A0A7I2V2P6",16.60574,16.31778,16.81155,16.41594,16.26189,16.36886,16.64784,16.32107,16.55042,16.51998,16.70156,16.95832
"E5RJR5",16.29885,16.074,15.98992,16.24983,16.11492,16.42351,16.19091,16.39517,15.96489,16.23467,15.89975,15.88681
"A5YKK6",14.85022,14.53161,15.36114,14.38535,14.54719,14.68498,14.92714,14.35354,14.81699,14.77949,15.18955,15.38704
"O00116",16.07408,15.90855,15.92763,15.98033,16.08957,16.23586,16.22961,15.94158,16.01707,15.89746,15.96327,16.28374
"O00161",16.44371,16.25648,16.59797,16.3674,16.74514,16.78897,16.86616,16.97064,16.6625,16.49688,16.60856,16.771
"O15347",15.78285,15.9964,15.46455,15.98119,15.81732,16.20732,15.81989,16.0134,15.78683,15.87664,15.53488,15.30456
"O15372",16.96823,16.73552,16.79103,17.00155,17.14358,17.13463,17.14869,17.17725,17.03129,16.96327,16.98286,16.85541
"O43660",14.9118,14.93452,14.97446,14.90084,15.48921,15.58333,15.49909,15.33314,15.21392,15.28475,15.26573,15.06138
"O60343",14.67408,14.09082,14.79095,14.37193,15.16302,14.98517,15.31832,14.87857,14.80927,14.82193,15.12518,15.10393
"O60832",16.01243,15.96564,16.29889,15.84312,16.32274,16.32616,16.34832,15.99768,16.06169,16.05272,16.29753,16.08711
"O94760",16.27263,16.21737,16.08438,16.51529,16.3102,16.4747,16.3253,16.65848,16.3173,16.50611,15.83562,16.25598
"O94804",17.00117,16.92381,16.74046,17.10492,16.8909,17.21074,16.96299,17.12225,16.76549,16.81901,16.43993,17.01821
"O95302",16.7205,16.71179,16.32183,17.08848,15.59237,15.80285,15.46934,15.77416,16.202,15.80861,15.84022,15.72591
"P00568",17.01614,17.35205,16.32942,17.22784,16.39238,16.59149,16.33124,16.60551,16.69757,16.61063,16.53177,16.37481
"P02794",17.7413,17.73715,16.40525,17.69307,15.3065,15.43679,15.17738,15.1875,17.0805,16.67561,16.33106,16.58511
"P05388",19.19432,18.69579,19.32857,19.07595,19.80959,19.71441,19.7367,19.7937,19.52837,18.99039,19.63081,19.58459
"P08195",15.77635,15.88832,16.04142,15.49204,15.97216,15.98435,16.0696,15.69026,16.21094,16.05584,16.41744,16.72557
"P08240",15.32252,15.33642,15.80949,15.11118,16.11583,15.90854,16.19251,15.86843,15.42967,15.34743,15.67633,15.74299
"P08621",17.14459,17.42041,17.04498,17.49701,17.16933,17.60092,17.10783,17.13966,17.43919,17.6695,17.19513,16.9852
"P08754",14.78417,14.45618,15.09893,14.63385,15.18606,14.69096,14.98652,14.87756,14.95318,15.18231,14.88277,14.90595
"P09382",22.23881,22.47956,21.79168,22.62328,22.27903,21.92955,22.17245,22.41406,22.15713,21.81432,21.88997,22.00571
"P10412",17.41446,17.70228,18.409,18.17645,18.51876,17.70909,17.83715,18.04288,17.36687,17.48814,17.97848,17.98024
"P11308",17.42352,17.3462,17.48179,17.52702,17.19247,17.39246,17.31418,17.69262,17.3553,17.55816,17.17948,17.35638
"P12004",17.1807,17.16731,17.16832,17.31017,17.8149,17.87319,17.7183,18.08476,17.24147,17.60441,17.41328,17.0808
"P14550",17.24613,17.15679,16.93286,17.10982,16.93642,16.91722,16.91973,17.06214,17.19251,17.16699,16.89992,17.11397
"P15090",16.16505,15.1723,15.61948,16.02377,16.9176,16.51727,16.47281,16.93649,16.63961,15.71069,16.29183,16.17566
"P16278",16.60663,16.62013,16.61658,16.55195,16.1926,16.54896,16.36933,16.30562,16.12232,16.24659,16.0742,16.26111
"P16401",17.59486,18.19505,18.32097,18.21948,18.69538,18.2193,18.14403,18.31414,17.30213,18.02977,17.95971,18.41736
"P22061",16.4072,16.16453,15.91747,16.63221,16.40325,16.42178,16.14976,16.45753,16.50854,16.51159,16.24429,16.35976
"P23368",15.70567,15.61787,15.65004,15.49806,15.28303,15.71136,15.67642,15.33681,15.79267,16.01293,15.8443,15.85057
"P25398",18.94675,19.03773,18.61569,19.14254,19.01603,18.93845,18.89912,19.26056,18.95687,19.04948,18.83847,18.52049
"P26196",15.54831,15.34734,15.78556,15.32586,15.93996,15.97404,15.91248,15.62407,15.51281,15.64976,15.73329,15.74651
"P27105",17.56924,17.72186,17.69806,17.50653,17.43614,17.13773,17.18774,17.07351,17.8187,17.45304,17.78554,18.03316
"P27361",16.30183,16.11838,16.3419,16.07843,16.30325,16.32728,16.24578,16.10029,16.36788,16.10259,16.40493,16.46794
"P28290",15.75827,15.53493,15.64823,15.87572,15.86525,16.22311,15.60118,15.90439,15.7999,15.57767,15.54512,15.57224
"P28482",16.59766,16.24082,16.67026,16.24424,16.77592,16.86196,16.72036,16.57136,16.69219,16.46962,16.84815,16.72733
"P29474",14.49504,14.40147,14.9837,14.31694,13.88862,14.07629,13.96492,13.62024,14.89215,14.54229,15.25012,15.26298
